key,description @see https://wiki.openstreetmap.org/wiki/Category:Key_descriptions_with_status_%22deprecated%22
abandoned:building,Explication
access:bdouble,
access:lhv,
addr:level,
addr:street:sym_ul,
aerial,
artist,
attribution,
bath:open_air,
bicycle:practical,
bridge_name,
building:roof,
building:roof:shape,
building:type,
building:use:pl,
cabin:rental,
car,
centre_turn_lane,
construction_end_expected,
contact:google_plus,
dewnr:park_id,
diaper,
escalator,
fenced,
fhrs:rating,
heater,
historic_name,
history,
is_in:continent,
kp,
lines,
Mapper,
massgis:SITE_NAME,
memorial:type,
motorcycles,
name:botanical,
notes,
phoenixbikeguide,
pk,
place_name,
point,
pole:type,
post_office:type,
power_rating,
power_source,
project:eurosha_2012,
protect_id,
pump:type,
ref:shop:num,
ref:sr:maticni_broj,
ref:statistical,
role,
sloped_curb,
smokefree,
Source,
sqkm,
status,
sub_sea,
teryt:stan_na,
todo,
unnamed,
user_defined_other,
validate:no_ref,
wood,
www.prezzibenzina.it,
